t,wall_time,cpu,util_ema,chosen_freq_khz,freq_idx,est_power_w
7.521,1761992928.319225,4,0.0014,300000,0,5.0029
7.521,1761992928.319225,5,0.0002,300000,0,5.0004
7.521,1761992928.319225,6,0.0006,300000,0,5.0012
7.521,1761992928.319225,7,0.0004,300000,0,5.0007
8.023,1761992928.8204489,0,0.0002,300000,0,5.0004
8.023,1761992928.8204489,1,0.0,300000,0,5.0
8.023,1761992928.8204489,2,0.0042,300000,0,5.0084
8.023,1761992928.8204489,3,0.0006,300000,0,5.0011
8.023,1761992928.8204489,4,0.0009,300000,0,5.0019
8.023,1761992928.8204489,5,0.0001,300000,0,5.0003
8.023,1761992928.8204489,6,0.0004,300000,0,5.0008
8.023,1761992928.8204489,7,0.0002,300000,0,5.0005
8.524,1761992929.321797,0,0.0001,300000,0,5.0002
8.524,1761992929.321797,1,0.0,300000,0,5.0
8.524,1761992929.321797,2,0.0027,300000,0,5.0054
8.524,1761992929.321797,3,0.0004,300000,0,5.0007
8.524,1761992929.321797,4,0.0006,300000,0,5.0012
8.524,1761992929.321797,5,0.0001,300000,0,5.0002
8.524,1761992929.321797,6,0.0003,300000,0,5.0005
8.524,1761992929.321797,7,0.0002,300000,0,5.0003
9.025,1761992929.8231168,0,0.0001,300000,0,5.0002
9.025,1761992929.8231168,1,0.0,300000,0,5.0
9.025,1761992929.8231168,2,0.0018,300000,0,5.0035
9.025,1761992929.8231168,3,0.0002,300000,0,5.0005
9.025,1761992929.8231168,4,0.0004,300000,0,5.0008
9.025,1761992929.8231168,5,0.0001,300000,0,5.0001
9.025,1761992929.8231168,6,0.0002,300000,0,5.0003
9.025,1761992929.8231168,7,0.0001,300000,0,5.0002
9.527,1761992930.3245382,0,0.0,300000,0,5.0001
9.527,1761992930.3245382,1,0.0,300000,0,5.0
9.527,1761992930.3245382,2,0.0011,300000,0,5.0023
9.527,1761992930.3245382,3,0.0002,300000,0,5.0003
9.527,1761992930.3245382,4,0.0003,300000,0,5.0005
9.527,1761992930.3245382,5,0.0,300000,0,5.0001
9.527,1761992930.3245382,6,0.0001,300000,0,5.0002
9.527,1761992930.3245382,7,0.0001,300000,0,5.0001
10.028,1761992930.8258588,0,0.0,300000,0,5.0001
10.028,1761992930.8258588,1,0.0,300000,0,5.0
10.028,1761992930.8258588,2,0.0076,300000,0,5.0152
10.028,1761992930.8258588,3,0.0001,300000,0,5.0002
10.028,1761992930.8258588,4,0.0002,300000,0,5.0003
10.028,1761992930.8258588,5,0.0,300000,0,5.0001
10.028,1761992930.8258588,6,0.0001,300000,0,5.0001
10.028,1761992930.8258588,7,0.0,300000,0,5.0001
10.529,1761992931.3273337,0,0.0,300000,0,5.0
10.529,1761992931.3273337,1,0.0,300000,0,5.0
10.529,1761992931.3273337,2,0.0049,300000,0,5.0099
10.529,1761992931.3273337,3,0.0001,300000,0,5.0001
10.529,1761992931.3273337,4,0.0001,300000,0,5.0002
10.529,1761992931.3273337,5,0.0,300000,0,5.0
10.529,1761992931.3273337,6,0.0,300000,0,5.0001
10.529,1761992931.3273337,7,0.0,300000,0,5.0001
11.031,1761992931.828601,0,0.0,300000,0,5.0
11.031,1761992931.828601,1,0.0,300000,0,5.0
11.031,1761992931.828601,2,0.0032,300000,0,5.0064
11.031,1761992931.828601,3,0.0,300000,0,5.0001
11.031,1761992931.828601,4,0.0001,300000,0,5.0001
11.031,1761992931.828601,5,0.0,300000,0,5.0
11.031,1761992931.828601,6,0.0,300000,0,5.0001
11.031,1761992931.828601,7,0.0,300000,0,5.0
11.532,1761992932.3299477,0,0.0,300000,0,5.0
11.532,1761992932.3299477,1,0.0,300000,0,5.0
11.532,1761992932.3299477,2,0.0021,300000,0,5.0042
11.532,1761992932.3299477,3,0.0,300000,0,5.0001
11.532,1761992932.3299477,4,0.0,300000,0,5.0001
11.532,1761992932.3299477,5,0.0,300000,0,5.0
11.532,1761992932.3299477,6,0.0,300000,0,5.0
11.532,1761992932.3299477,7,0.0,300000,0,5.0
12.033,1761992932.8310714,0,0.0,300000,0,5.0
12.033,1761992932.8310714,1,0.0,300000,0,5.0
12.033,1761992932.8310714,2,0.0014,300000,0,5.0027
12.033,1761992932.8310714,3,0.0,300000,0,5.0
12.033,1761992932.8310714,4,0.0,300000,0,5.0001
12.033,1761992932.8310714,5,0.0,300000,0,5.0
12.033,1761992932.8310714,6,0.0,300000,0,5.0
12.033,1761992932.8310714,7,0.0,300000,0,5.0
12.534,1761992933.3322814,0,0.0,300000,0,5.0
12.534,1761992933.3322814,1,0.0,300000,0,5.0
12.534,1761992933.3322814,2,0.0143,300000,0,5.0287
12.534,1761992933.3322814,3,0.0,300000,0,5.0
12.534,1761992933.3322814,4,0.0,300000,0,5.0
12.534,1761992933.3322814,5,0.0,300000,0,5.0
12.534,1761992933.3322814,6,0.0,300000,0,5.0
12.534,1761992933.3322814,7,0.0,300000,0,5.0
13.036,1761992933.8335352,0,0.0,300000,0,5.0
13.036,1761992933.8335352,1,0.0,300000,0,5.0
13.036,1761992933.8335352,2,0.0093,300000,0,5.0186
13.036,1761992933.8335352,3,0.0,300000,0,5.0
13.036,1761992933.8335352,4,0.0,300000,0,5.0
13.036,1761992933.8335352,5,0.0,300000,0,5.0
13.036,1761992933.8335352,6,0.0,300000,0,5.0
13.036,1761992933.8335352,7,0.0,300000,0,5.0
13.537,1761992934.3348658,0,0.0,300000,0,5.0
13.537,1761992934.3348658,1,0.0,300000,0,5.0
13.537,1761992934.3348658,2,0.0061,300000,0,5.0121
13.537,1761992934.3348658,3,0.0,300000,0,5.0
13.537,1761992934.3348658,4,0.0,300000,0,5.0
13.537,1761992934.3348658,5,0.0,300000,0,5.0
13.537,1761992934.3348658,6,0.0,300000,0,5.0
13.537,1761992934.3348658,7,0.0,300000,0,5.0
14.038,1761992934.8361115,0,0.0,300000,0,5.0
14.038,1761992934.8361115,1,0.0,300000,0,5.0
14.038,1761992934.8361115,2,0.0039,300000,0,5.0079
14.038,1761992934.8361115,3,0.0,300000,0,5.0
14.038,1761992934.8361115,4,0.0,300000,0,5.0
14.038,1761992934.8361115,5,0.0,300000,0,5.0
14.038,1761992934.8361115,6,0.0,300000,0,5.0
14.038,1761992934.8361115,7,0.0,300000,0,5.0
14.54,1761992935.337415,0,0.0,300000,0,5.0
14.54,1761992935.337415,1,0.0,300000,0,5.0
14.54,1761992935.337415,2,0.0026,300000,0,5.0051
14.54,1761992935.337415,3,0.0,300000,0,5.0
14.54,1761992935.337415,4,0.0,300000,0,5.0
14.54,1761992935.337415,5,0.0,300000,0,5.0
14.54,1761992935.337415,6,0.0,300000,0,5.0
14.54,1761992935.337415,7,0.0,300000,0,5.0
15.041,1761992935.8388982,0,0.0,300000,0,5.0
15.041,1761992935.8388982,1,0.0,300000,0,5.0
15.041,1761992935.8388982,2,0.0017,300000,0,5.0033
15.041,1761992935.8388982,3,0.0,300000,0,5.0
15.041,1761992935.8388982,4,0.0,300000,0,5.0
15.041,1761992935.8388982,5,0.0,300000,0,5.0
15.041,1761992935.8388982,6,0.0,300000,0,5.0
15.041,1761992935.8388982,7,0.0,300000,0,5.0
15.542,1761992936.3402393,0,0.0,300000,0,5.0
15.542,1761992936.3402393,1,0.0,300000,0,5.0
15.542,1761992936.3402393,2,0.0011,300000,0,5.0022
15.542,1761992936.3402393,3,0.0,300000,0,5.0
15.542,1761992936.3402393,4,0.0,300000,0,5.0
15.542,1761992936.3402393,5,0.0,300000,0,5.0
15.542,1761992936.3402393,6,0.0,300000,0,5.0
15.542,1761992936.3402393,7,0.0,300000,0,5.0
16.044,1761992936.841679,0,0.0,300000,0,5.0
16.044,1761992936.841679,1,0.0,300000,0,5.0
16.044,1761992936.841679,2,0.0007,300000,0,5.0014
16.044,1761992936.841679,3,0.0,300000,0,5.0
